host,port,proto,name,state,info
"10.100.101.55","21","tcp","ftp","open",""
"10.100.101.90","21","tcp","ftp","open",""
"10.100.101.99","21","tcp","ftp","open",""
"10.100.103.90","21","tcp","ftp","open",""
"10.100.103.99","21","tcp","ftp","open",""
"10.100.103.168","21","tcp","ftp","open",""
"10.100.104.90","21","tcp","ftp","open",""
"10.100.104.168","21","tcp","ftp","open",""
"10.100.105.90","21","tcp","ftp","open",""
"10.100.105.99","21","tcp","ftp","open",""
"172.25.20.100","21","tcp","ftp","open","Synology DS200-series NAS device ftpd"
"172.25.20.101","21","tcp","ftp","open","Synology DS200-series NAS device ftpd"
"172.25.20.102","21","tcp","ftp","open","Synology DiskStation Manager 5.2 ftpd"
"172.25.20.103","21","tcp","ftp","open","Synology DiskStation Manager 5.2 ftpd"
"192.168.101.148","21","tcp","ftp","open","ProFTPD 1.3.3d"
"192.168.103.148","21","tcp","ftp","open","ProFTPD 1.3.3d"
"192.168.104.148","21","tcp","ftp","open","ProFTPD 1.3.3d"
"192.168.105.148","21","tcp","ftp","open","ProFTPD 1.3.3d"
"10.1.139.10","22","tcp","ssh","open",""
"10.20.30.1","22","tcp","ssh","open",""
"10.20.30.3","22","tcp","ssh","open",""
"10.20.30.55","22","tcp","ssh","open",""
"10.20.30.57","22","tcp","ssh","open",""
"10.20.30.66","22","tcp","ssh","open",""
"10.20.30.111","22","tcp","ssh","open",""
"10.20.30.120","22","tcp","ssh","open",""
"10.20.30.121","22","tcp","ssh","open",""
"10.20.31.1","22","tcp","ssh","open",""
"10.20.31.10","22","tcp","ssh","open",""
"10.20.31.21","22","tcp","ssh","open",""
"10.20.31.22","22","tcp","ssh","open",""
"10.20.31.53","22","tcp","ssh","open",""
"10.20.31.71","22","tcp","ssh","open",""
"10.20.31.74","22","tcp","ssh","open",""
"10.20.31.75","22","tcp","ssh","open",""
"10.20.31.78","22","tcp","ssh","open",""
"10.100.101.3","22","tcp","ssh","open",""
"10.100.101.6","22","tcp","ssh","open",""
"10.100.101.18","22","tcp","ssh","open",""
"10.100.101.31","22","tcp","ssh","open",""
"10.100.101.55","22","tcp","ssh","open",""
"10.100.101.60","22","tcp","ssh","open",""
"10.100.101.99","22","tcp","ssh","open",""
"10.100.101.106","22","tcp","ssh","open",""
"10.100.101.118","22","tcp","ssh","open",""
"10.100.101.123","22","tcp","ssh","open",""
"10.100.101.124","22","tcp","ssh","open",""
"10.100.101.130","22","tcp","ssh","open",""
"10.100.101.144","22","tcp","ssh","open",""
"10.100.101.146","22","tcp","ssh","open",""
"10.100.101.175","22","tcp","ssh","open",""
"10.100.101.203","22","tcp","ssh","open",""
"10.100.101.246","22","tcp","ssh","open",""
"10.100.103.2","22","tcp","ssh","open",""
"10.100.103.3","22","tcp","ssh","open",""
"10.100.103.6","22","tcp","ssh","open",""
"10.100.103.18","22","tcp","ssh","open",""
"10.100.103.31","22","tcp","ssh","open",""
"10.100.103.60","22","tcp","ssh","open",""
"10.100.103.72","22","tcp","ssh","open",""
"10.100.103.74","22","tcp","ssh","open",""
"10.100.103.99","22","tcp","ssh","open",""
"10.100.103.106","22","tcp","ssh","open",""
"10.100.103.118","22","tcp","ssh","open",""
"10.100.103.123","22","tcp","ssh","open",""
"10.100.103.124","22","tcp","ssh","open",""
"10.100.103.130","22","tcp","ssh","open",""
"10.100.103.144","22","tcp","ssh","open",""
"10.100.103.157","22","tcp","ssh","open",""
"10.100.103.168","22","tcp","ssh","open",""
"10.100.103.175","22","tcp","ssh","open",""
"10.100.103.203","22","tcp","ssh","open",""
"10.100.103.246","22","tcp","ssh","open",""
"10.100.104.2","22","tcp","ssh","open",""
"10.100.104.3","22","tcp","ssh","open",""
"10.100.104.6","22","tcp","ssh","open",""
"10.100.104.18","22","tcp","ssh","open",""
"10.100.104.31","22","tcp","ssh","open",""
"10.100.104.60","22","tcp","ssh","open",""
"10.100.104.74","22","tcp","ssh","open",""
"10.100.104.106","22","tcp","ssh","open",""
"10.100.104.123","22","tcp","ssh","open",""
"10.100.104.124","22","tcp","ssh","open",""
"10.100.104.130","22","tcp","ssh","open",""
"10.100.104.144","22","tcp","ssh","open",""
"10.100.104.157","22","tcp","ssh","open",""
"10.100.104.168","22","tcp","ssh","open",""
"10.100.104.175","22","tcp","ssh","open",""
"10.100.104.246","22","tcp","ssh","open",""
"10.100.105.2","22","tcp","ssh","open",""
"10.100.105.3","22","tcp","ssh","open",""
"10.100.105.6","22","tcp","ssh","open",""
"10.100.105.18","22","tcp","ssh","open",""
"10.100.105.60","22","tcp","ssh","open",""
"10.100.105.72","22","tcp","ssh","open",""
"10.100.105.99","22","tcp","ssh","open",""
"10.100.105.101","22","tcp","ssh","open",""
"10.100.105.118","22","tcp","ssh","open",""
"10.100.105.123","22","tcp","ssh","open",""
"10.100.105.124","22","tcp","ssh","open",""
"10.100.105.144","22","tcp","ssh","open",""
"10.100.105.175","22","tcp","ssh","open",""
"10.100.105.192","22","tcp","ssh","open",""
"10.100.105.197","22","tcp","ssh","open",""
"10.100.105.203","22","tcp","ssh","open",""
"10.100.105.246","22","tcp","ssh","open",""
"10.150.0.1","22","tcp","ssh","open",""
"10.150.0.254","22","tcp","ssh","open",""
